geometry,distance_along_m,heading
POINT (-65.576456 49.255022),5580.954661056028,75.73313289213604
POINT (-65.576218 49.2550615),5598.829272287178,75.7331219380473
POINT (-65.57598 49.255101),5616.703868686722,72.9200389116213
POINT (-65.5746785 49.255362000000005),5715.799279342896,72.91995385489275
POINT (-65.573377 49.255623),5814.894169087182,76.11901919174727
POINT (-65.5727415 49.2557255),5862.54160724496,76.11899148006228
POINT (-65.572106 49.255828),5910.18894221861,77.74394240134575
POINT (-65.5717075 49.2558845),5939.87188938017,77.74392879616727
POINT (-65.571309 49.255941),5969.554800206328,77.46404037980057
POINT (-65.5710885 49.255973),5985.996631118706,77.46403251066096
POINT (-65.570868 49.256005),6002.438450684131,80.77985455885721
POINT (-65.57009400000001 49.256087),6059.517497268254,80.77983950523429
POINT (-65.56932 49.256169),6116.596436882606,83.37654383184497
POINT (-65.5684755 49.256233),6178.484936777091,83.376535319901
POINT (-65.567631 49.256297),6240.373340192583,85.21178150218628
POINT (-65.567192 49.256321),6272.442801187501,85.2117791841477
POINT (-65.566753 49.256345),6304.512242028828,85.14793573847271
POINT (-65.56621150000001 49.256375000000006),6344.073087996366,85.14793280357696
POINT (-65.56567 49.256405),6383.63390299023,83.66005007014559
POINT (-65.5644495 49.256493500000005),6473.0266893446205,83.66003879513732
POINT (-65.563229 49.256582),6562.419281296738,83.47474903891742
POINT (-65.562941 49.2566035),6583.520784162398,83.47474621786836
POINT (-65.562653 49.256625),6604.622275945517,85.08393926482967
POINT (-65.561789 49.256673500000005),6667.749810553363,85.08393445761101
POINT (-65.560925 49.256722),6730.877265537385,88.30304856540704
POINT (-65.56045950000001 49.256731),6764.77900652752,88.3030482556128
POINT (-65.559994 49.25674),6798.680736097996,90.1810060881408
POINT (-65.5595095 49.256738999999996),6833.950993362875,90.18100608216844
POINT (-65.559025 49.256738),6869.221245650928,92.91539135861711
POINT (-65.5584835 49.25672),6908.691545105043,92.91539030041076
POINT (-65.557942 49.256702),6948.161851772922,94.04643189646737
POINT (-65.5575305 49.256682999999995),6978.192210022049,94.04643034330905
POINT (-65.557119 49.256664),7008.222575639717,93.915517046834
POINT (-65.556828 49.256651000000005),7029.455761825849,93.91551602085883
POINT (-65.556537 49.256638),7050.6889515112925,94.96208521533714
POINT (-65.5554165 49.2565745),7132.563117350941,94.96207886330961
POINT (-65.554296 49.256511),7214.437357032627,93.73272220051808
POINT (-65.553932 49.2564955),7240.991508460884,93.73272103148963
POINT (-65.553568 49.25648),7267.545664965969,94.89526428301531
POINT (-65.5533265 49.2564665),7285.190163390755,94.89526295405057
POINT (-65.553085 49.256453),7302.8346651805705,97.39802322540083
POINT (-65.552849 49.256433),7320.158186993297,97.39802025625585
POINT (-65.552613 49.256413),7337.4817143382415,102.75620764147982
